ID,N_VICTIMAS,AAAA,VICTIMA,ACUSADO,COORDENADAS,SEMESTRE
2017-0041,1,2017,MOTO,AUTO,"-34.63531854, -58.45485084",2017_1
2017-0042,1,2017,MOTO,CARGAS,"., .",2017_1
2017-0045,1,2017,MOTO,OBJETO FIJO,"-34.62454175, -58.52449285",2017_1
2017-0047,1,2017,MOTO,AUTO,"-34.67198790, -58.46713742",2017_1
2017-0049,1,2017,PEATON,PASAJEROS,"-34.65554754, -58.43850413",2017_1
2017-0050,2,2017,MOTO,CARGAS,"., .",2017_1
2017-0051,1,2017,AUTO,AUTO,"., .",2017_1
2017-0052,1,2017,PEATON,CARGAS,"-34.68095739, -58.49413799",2017_1
2017-0053,1,2017,MOTO,CARGAS,"-34.65326075, -58.37547846",2017_1
2017-0054,1,2017,MOTO,AUTO,"-34.58689719, -58.48680218",2017_1
2017-0055,1,2017,AUTO,AUTO,"-34.57962262, -58.49563989",2017_1
2017-0058,1,2017,PEATON,MOTO,"-34.59915940, -58.38403232",2017_1
2017-0059,1,2017,PEATON,PASAJEROS,"-34.62693865, -58.38223382",2017_1
2017-0060,1,2017,MOTO,OBJETO FIJO,"-34.67323292, -58.45966521",2017_1
2017-0061,1,2017,PEATON,MOTO,"-34.59871111, -58.39303911",2017_1
2017-0062,1,2017,MOTO,CARGAS,"-34.63395999, -58.51262106",2017_1
2017-0063,1,2017,PEATON,PASAJEROS,"-34.61646839, -58.38118367",2017_1
2017-0064,1,2017,CARGAS,AUTO,"-34.60582475, -58.37653284",2017_1
2017-0065,1,2017,BICICLETA,CARGAS,"-34.64035082, -58.37709334",2017_1
2017-0066,1,2017,PEATON,PASAJEROS,"-34.60409469, -58.46002142",2017_1
2017-0067,1,2017,MOTO,CARGAS,"-34.62801894, -58.43381970",2017_1
2017-0068,1,2017,MOTO,OBJETO FIJO,"-34.66437532, -58.43580656",2017_1
2017-0069,1,2017,MOTO,SD,"-34.65997463, -58.52173071",2017_1
2017-0070,1,2017,PEATON,AUTO,"-34.59804273, -58.50791763",2017_1
2017-0072,1,2017,AUTO,AUTO,"-34.58226957, -58.49175088",2017_1
2017-0073,1,2017,MOTO,AUTO,"-34.60425669, -58.40781467",2017_1
2017-0074,1,2017,SD,SD,"-34.63787791, -58.52567073",2017_1
2017-0075,1,2017,PEATON,MOTO,"-34.60906385, -58.38154200",2017_1
2017-0076,1,2017,PEATON,CARGAS,"-34.57805810, -58.38526125",2017_1
2017-0077,1,2017,MOTO,CARGAS,"-34.58451712, -58.42934104",2017_1
2017-0079,1,2017,MOTO,CARGAS,"-34.61781124, -58.40657493",2017_1
2017-0080,1,2017,PEATON,CARGAS,"-34.64487785, -58.49525314",2017_1
2017-0082,1,2017,PEATON,AUTO,"-34.62932696, -58.39092851",2017_1
2017-0083,1,2017,MOTO,CARGAS,"-34.64564271, -58.49603546",2017_2
2017-0084,1,2017,PEATON,PASAJEROS,"-34.58703485, -58.38502878",2017_2
2017-0085,1,2017,PEATON,PASAJEROS,"-34.63150425, -58.37261143",2017_2
2017-0086,1,2017,PEATON,MOTO,"-34.63905965, -58.51876802",2017_2
2017-0087,1,2017,PEATON,AUTO,"-34.61516101, -58.41095567",2017_2
2017-0088,1,2017,PEATON,PASAJEROS,"-34.62519403, -58.36797542",2017_2
2017-0089,1,2017,SD,AUTO,"-34.64787051, -58.51514709",2017_2
2017-0090,1,2017,PEATON,AUTO,"-34.59171721, -58.51925642",2017_2
2017-0091,1,2017,MOTO,SD,"-34.54321216, -58.48671535",2017_2
2017-0092,1,2017,PEATON,AUTO,"-34.62282019, -58.38268809",2017_2
2017-0093,1,2017,PEATON,AUTO,"-34.54966288, -58.43633522",2017_2
2017-0094,1,2017,BICICLETA,CARGAS,"-34.61765855, -58.52640838",2017_2
2017-0095,1,2017,MOTO,AUTO,"-34.59778875, -58.41894306",2017_2
2017-0096,1,2017,PEATON,PASAJEROS,"-34.54972741, -58.46756026",2017_2
2017-0098,1,2017,PEATON,AUTO,"-34.63132912, -58.45715752",2017_2
2017-0099,1,2017,BICICLETA,AUTO,"-34.56213916, -58.42406784",2017_2
2017-0100,1,2017,MOTO,OBJETO FIJO,"-34.61512051, -58.39674470",2017_2
2017-0101,1,2017,PEATON,MULTIPLE,"-34.57084818, -58.44537508",2017_2
2017-0102,1,2017,PEATON,CARGAS,"-34.65107080, -58.40056767",2017_2
2017-0104,1,2017,PEATON,CARGAS,"-34.61853244, -58.38109568",2017_2
2017-0106,1,2017,PEATON,PASAJEROS,"-34.58035258, -58.42533612",2017_2
2017-0107,1,2017,MOTO,CARGAS,"-34.54395182, -58.46062311",2017_2
2017-0108,2,2017,OBJETO FIJO,AUTO,"-34.54795581, -58.49491054",2017_2
2017-0109,1,2017,MOTO,AUTO,"-34.63665402, -58.47130269",2017_2
2017-0110,1,2017,PEATON,PASAJEROS,"-34.60189492, -58.37048800",2017_2
2017-0111,1,2017,PEATON,CARGAS,"-34.64234110, -58.42023854",2017_2
2017-0112,2,2017,AUTO,OBJETO FIJO,"-34.63997430, -58.45807401",2017_2
2017-0113,1,2017,PEATON,PASAJEROS,"-34.59573848, -58.37697717",2017_2
2017-0114,1,2017,AUTO,OBJETO FIJO,"-34.58498660, -58.39100580",2017_2
2017-0115,1,2017,MOTO,BICICLETA,"-34.63089661, -58.42182126",2017_2
2017-0116,1,2017,MOTO,OBJETO FIJO,"-34.58075791, -58.51389422",2017_2
2017-0118,1,2017,MOTO,AUTO,"-34.65232158, -58.37585415",2017_2
2017-0120,1,2017,MOTO,CARGAS,"-34.66245085, -58.47297505",2017_2
2017-0123,1,2017,PEATON,AUTO,"-34.67216349, -58.46855503",2017_2
2017-0124,1,2017,MOTO,PASAJEROS,"-34.59185043, -58.44254033",2017_2
2017-0125,1,2017,MOTO,OBJETO FIJO,"-34.67926929, -58.46622247",2017_2
2017-0126,2,2017,AUTO,OBJETO FIJO,"-34.68148508, -58.48003734",2017_2
2017-0127,1,2017,MOTO,MOTO,"-34.59800248, -58.41192137",2017_2
2017-0128,1,2017,PEATON,PASAJEROS,"-34.61349731, -58.44034689",2017_2
2017-0129,1,2017,MOTO,PASAJEROS,"-34.64925746, -58.47155277",2017_2
2017-0130,1,2017,AUTO,CARGAS,"-34.59967065, -58.47883099",2017_2
2017-0132,1,2017,MOTO,PASAJEROS,"-34.69374130, -58.46552171",2017_2
2017-0134,1,2017,PEATON,PASAJEROS,"-34.66777987, -58.44239720",2017_2
2017-0135,1,2017,MOTO,CARGAS,"-34.59626814, -58.47032551",2017_2
2017-0136,1,2017,PEATON,PASAJEROS,"-34.65522746, -58.41827843",2017_2
2017-0137,1,2017,PEATON,CARGAS,"-34.59279388, -58.51280715",2017_2
2017-0138,1,2017,MOTO,OBJETO FIJO,"-34.64385704, -58.46258582",2017_2
2017-0139,1,2017,AUTO,OBJETO FIJO,"-34.68003614, -58.45064148",2017_2
2017-0140,1,2017,MOTO,PASAJEROS,"., .",2017_2
2017-0141,1,2017,PEATON,PASAJEROS,"-34.62513374, -58.42717783",2017_2
2017-0143,1,2017,AUTO,PASAJEROS,"-34.60724519, -58.46442001",2017_2
2017-0144,1,2017,AUTO,OBJETO FIJO,"-34.69843756, -58.47064556",2017_2
2017-0145,1,2017,MOTO,AUTO,"-34.61223119, -58.41677733",2017_2
2017-0147,1,2017,MOTO,AUTO,"-34.67450313, -58.50251790",2017_2
2017-0148,1,2017,PEATON,PASAJEROS,"-34.62438894, -58.40708125",2017_2
2017-0149,1,2017,PEATON,PASAJEROS,"-34.61477051, -58.36947198",2017_2
2017-0150,1,2017,PEATON,AUTO,"-34.63934531, -58.51140889",2017_2
2017-0151,1,2017,PEATON,PASAJEROS,"-34.65559133, -58.37460912",2017_2
2017-0152,1,2017,BICICLETA,PASAJEROS,"-34.65073916, -58.41146277",2017_2
2017-0153,2,2017,MOTO,PASAJEROS,"-34.61829385, -58.42855267",2017_2
2017-0154,1,2017,PEATON,PASAJEROS,"-34.63412287, -58.39035581",2017_2
2017-0155,1,2017,SD,MOTO,"-34.62656868, -58.45593915",2017_2
2017-0157,1,2017,AUTO,PASAJEROS,"-34.64597065, -58.52866211",2017_2
2017-0158,1,2017,MOTO,AUTO,"-34.59407024, -58.52037476",2017_2
2017-0159,1,2017,MOTO,AUTO,"-34.61799615, -58.38896772",2017_2
2017-0160,1,2017,PEATON,MOTO,"-34.62771756, -58.47074114",2017_2
2017-0161,1,2017,PEATON,AUTO,"-34.65969965, -58.48200819",2017_2
2018-0001,1,2018,PEATON,MOTO,"-34.62297346, -58.39536773",2018_1
2018-0002,1,2018,BICICLETA,PASAJEROS,"-34.61895467, -58.37456088",2018_1
2018-0003,1,2018,PEATON,MULTIPLE,"-34.60395657, -58.44860217",2018_1
2018-0004,1,2018,MOTO,MULTIPLE,"-34.54332766, -58.46129513",2018_1
2018-0005,1,2018,PEATON,PASAJEROS,"-34.61953517, -58.36907201",2018_1
2018-0006,1,2018,BICICLETA,PASAJEROS,"-34.62499107, -58.44062219",2018_1
2018-0007,1,2018,AUTO,AUTO,"-34.63601265, -58.52502765",2018_1
2018-0008,1,2018,MOTO,CARGAS,"-34.61687778, -58.36659655",2018_1
2018-0009,1,2018,MOTO,MOTO,"-34.62763661, -58.36737389",2018_1
2018-0010,1,2018,MOTO,CARGAS,"-34.63038658, -58.49807953",2018_1
2018-0011,1,2018,PEATON,PASAJEROS,"-34.59088447, -58.39092703",2018_1
2018-0012,1,2018,MOTO,PASAJEROS,"-34.68049201, -58.46912006",2018_1
2018-0013,1,2018,MOTO,AUTO,"-34.56786129, -58.48661286",2018_1
2018-0014,1,2018,PEATON,MOTO,"-34.65080597, -58.44074927",2018_1
2018-0015,2,2018,MOTO,PASAJEROS,"-34.64684275, -58.38636298",2018_1
2018-0016,1,2018,MOTO,CARGAS,"-34.59276462, -58.37533517",2018_1
2018-0017,1,2018,PEATON,AUTO,"-34.63070603, -58.46963952",2018_1
2018-0018,1,2018,MOTO,CARGAS,"-34.64543658, -58.37207554",2018_1
2018-0019,1,2018,PEATON,PASAJEROS,"-34.59176378, -58.39189441",2018_1
2018-0020,1,2018,MOTO,CARGAS,"-34.66518343, -58.45012957",2018_1
2018-0021,1,2018,PEATON,PASAJEROS,"-34.64546845, -58.40184094",2018_1
2018-0022,1,2018,MOTO,CARGAS,"-34.63966783, -58.37441153",2018_1
2018-0023,1,2018,MOTO,AUTO,"-34.62082399, -58.44110156",2018_1
2018-0024,1,2018,PEATON,CARGAS,"-34.57827342, -58.47087351",2018_1
2018-0025,1,2018,PEATON,AUTO,"-34.62245140, -58.45962210",2018_1
2018-0026,2,2018,MOVIL,CARGAS,"-34.65476216, -58.41657793",2018_1
2018-0027,1,2018,PEATON,MOTO,"-34.63722107, -58.41911301",2018_1
2018-0028,1,2018,PEATON,CARGAS,"-34.64251042, -58.47120586",2018_1
2018-0029,1,2018,MOTO,AUTO,"-34.62049672, -58.47418944",2018_1
2018-0030,1,2018,MOTO,MOTO,"-34.57905579, -58.46720441",2018_1
2018-0031,1,2018,MOTO,CARGAS,"-34.61779710, -58.46909362",2018_1
2018-0032,1,2018,PEATON,PASAJEROS,"-34.56888640, -58.44704343",2018_1
2018-0033,1,2018,MOTO,CARGAS,"-34.62902048, -58.50535541",2018_1
2018-0034,1,2018,PEATON,PASAJEROS,"-34.59522198, -58.40021675",2018_1
2018-0035,1,2018,PEATON,PASAJEROS,"-34.62919627, -58.46325991",2018_1
2018-0036,1,2018,MOTO,AUTO,"-34.59694755, -58.49471482",2018_1
2018-0037,1,2018,PEATON,CARGAS,"-34.59975962, -58.39872610",2018_1
2018-0038,2,2018,PEATON,AUTO,"-34.60885045, -58.38872177",2018_1
2018-0039,1,2018,PEATON,AUTO,"., .",2018_1
2018-0040,1,2018,PEATON,CARGAS,"-34.57305993, -58.45686132",2018_1
2018-0041,1,2018,PEATON,PASAJEROS,"-34.64282424, -58.42281627",2018_1
2018-0042,1,2018,MOTO,CARGAS,"-34.63953396, -58.38666024",2018_1
2018-0043,1,2018,MOTO,AUTO,"-34.61207587, -58.49122843",2018_1
2018-0044,1,2018,PEATON,AUTO,"-34.61866627, -58.40098306",2018_1
2018-0045,1,2018,AUTO,CARGAS,"-34.57916920, -58.45448963",2018_1
2018-0046,1,2018,PEATON,AUTO,"-34.63931752, -58.52927982",2018_1
2018-0047,1,2018,PEATON,PASAJEROS,"-34.59170240, -58.44759966",2018_1
2018-0048,1,2018,PEATON,PASAJEROS,"-34.62925068, -58.46411215",2018_1
2018-0049,1,2018,PEATON,AUTO,"-34.55395823, -58.46213220",2018_1
2018-0050,1,2018,PEATON,PASAJEROS,"-34.56203610, -58.45669422",2018_1
2018-0051,1,2018,PEATON,AUTO,"-34.64341878, -58.35977160",2018_1
2018-0052,1,2018,PEATON,PASAJEROS,"-34.59070093, -58.49820145",2018_1
